,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
173,2022-01-19,41744.33,42375.63,42250.55,43113.88,43177.4,43099.7,42591.57,43949.1,22417209227,43,59
174,2022-01-20,40680.42,41744.33,42375.63,42250.55,43113.88,43177.4,43099.7,42591.57,23091543258,40,56
175,2022-01-21,36457.32,40680.42,41744.33,42375.63,42250.55,43113.88,43177.4,43099.7,20382033940,41,59
176,2022-01-22,35030.25,36457.32,40680.42,41744.33,42375.63,42250.55,43113.88,43177.4,43011992031,79,85
177,2022-01-23,36276.8,35030.25,36457.32,40680.42,41744.33,42375.63,42250.55,43113.88,39714385405,100,100
178,2022-01-24,36654.33,36276.8,35030.25,36457.32,40680.42,41744.33,42375.63,42250.55,26017975951,73,63
179,2022-01-25,36954.0,36654.33,36276.8,35030.25,36457.32,40680.42,41744.33,42375.63,41856658597,96,70
180,2022-01-26,36852.12,36954.0,36654.33,36276.8,35030.25,36457.32,40680.42,41744.33,26428189594,72,58
181,2022-01-27,37138.23,36852.12,36954.0,36654.33,36276.8,35030.25,36457.32,40680.42,31324598034,67,61
182,2022-01-28,37784.33,37138.23,36852.12,36954.0,36654.33,36276.8,35030.25,36457.32,25041426629,60,54
183,2022-01-29,38138.18,37784.33,37138.23,36852.12,36954.0,36654.33,36276.8,35030.25,22238830523,56,53
184,2022-01-30,37917.6,38138.18,37784.33,37138.23,36852.12,36954.0,36654.33,36276.8,17194183075,48,52
185,2022-01-31,38483.13,37917.6,38138.18,37784.33,37138.23,36852.12,36954.0,36654.33,14643548444,45,50
186,2022-02-01,38743.27,38483.13,37917.6,38138.18,37784.33,37138.23,36852.12,36954.0,20734730465,48,50
187,2022-02-02,36952.98,38743.27,38483.13,37917.6,38138.18,37784.33,37138.23,36852.12,20288500328,49,62
188,2022-02-03,37154.6,36952.98,38743.27,38483.13,37917.6,38138.18,37784.33,37138.23,19155189416,47,55
189,2022-02-04,41500.88,37154.6,36952.98,38743.27,38483.13,37917.6,38138.18,37784.33,18591534769,47,50
190,2022-02-05,41441.16,41500.88,37154.6,36952.98,38743.27,38483.13,37917.6,38138.18,29412210792,50,48
191,2022-02-06,42412.43,41441.16,41500.88,37154.6,36952.98,38743.27,38483.13,37917.6,19652846215,52,52
192,2022-02-07,43840.29,42412.43,41441.16,41500.88,37154.6,36952.98,38743.27,38483.13,16142097334,43,50
193,2022-02-08,44118.45,43840.29,42412.43,41441.16,41500.88,37154.6,36952.98,38743.27,28641855926,54,58
194,2022-02-09,44338.8,44118.45,43840.29,42412.43,41441.16,41500.88,37154.6,36952.98,33079398868,51,56
195,2022-02-10,43565.11,44338.8,44118.45,43840.29,42412.43,41441.16,41500.88,37154.6,23245887300,50,53
196,2022-02-11,42407.94,43565.11,44338.8,44118.45,43840.29,42412.43,41441.16,41500.88,32142048537,48,54
197,2022-02-12,42244.47,42407.94,43565.11,44338.8,44118.45,43840.29,42412.43,41441.16,26954925781,44,50
198,2022-02-13,42197.52,42244.47,42407.94,43565.11,44338.8,44118.45,43840.29,42412.43,18152390304,39,47
199,2022-02-14,42586.92,42197.52,42244.47,42407.94,43565.11,44338.8,44118.45,43840.29,14741589015,36,46
200,2022-02-15,44575.2,42586.92,42197.52,42244.47,42407.94,43565.11,44338.8,44118.45,20827783012,42,46
201,2022-02-16,43961.86,44575.2,42586.92,42197.52,42244.47,42407.94,43565.11,44338.8,22721659051,43,49
202,2022-02-17,40538.01,43961.86,44575.2,42586.92,42197.52,42244.47,42407.94,43565.11,19792547657,40,47
203,2022-02-18,40030.98,40538.01,43961.86,44575.2,42586.92,42197.52,42244.47,42407.94,26246662813,42,47
204,2022-02-19,40122.15,40030.98,40538.01,43961.86,44575.2,42586.92,42197.52,42244.47,23310007704,43,44
205,2022-02-20,38431.38,40122.15,40030.98,40538.01,43961.86,44575.2,42586.92,42197.52,13736557863,38,42
206,2022-02-21,37075.28,38431.38,40122.15,40030.98,40538.01,43961.86,44575.2,42586.92,18340576452,43,47
207,2022-02-22,38286.03,37075.28,38431.38,40122.15,40030.98,40538.01,43961.86,44575.2,29280402798,46,44
208,2022-02-23,37296.57,38286.03,37075.28,38431.38,40122.15,40030.98,40538.01,43961.86,25493150450,52,48
209,2022-02-24,38332.61,37296.57,38286.03,37075.28,38431.38,40122.15,40030.98,40538.01,21849073843,44,41
210,2022-02-25,39214.22,38332.61,37296.57,38286.03,37075.28,38431.38,40122.15,40030.98,46383802093,84,49
211,2022-02-26,39105.15,39214.22,38332.61,37296.57,38286.03,37075.28,38431.38,40122.15,26545599159,57,40
